method,instance,run_id,audit_status,run_exit,finish_count,makespan_s_proxy,astar_failure_count,astar_diagnostic_count,retry_suppression_register,retry_suppression_skip,takeover_sent,takeover_executed,takeover_received,handoff_complete,handoff_fallback,wait_duration_total_wall_s,trajectory_plan_failure_count,explore_failure_count,lkh_failure_count
b0,1,c3formal_c3v81formal_0807_b0_open_plan_office_uav3_run_001,audit-complete,0,3,69.35975337028503,0,0,0,0,0,0,0,0,0,0.0,0,4,0
b1,1,c3formal_c3v81formal_0807_b1_open_plan_office_uav3_run_001,audit-complete,0,3,99.15393924713135,3,3,3,0,0,0,0,0,0,0.0,3,6,0
c3,1,c3formal_c3v81formal_0807_c3_open_plan_office_uav3_run_001,audit-complete,0,3,78.01113820075989,1,1,1,0,0,0,0,0,0,0.0,1,6,0
b0,2,c3formal_c3v81formal_0807_b0_open_plan_office_uav3_run_002,audit-complete,0,3,96.59172224998474,3,3,0,0,0,0,0,0,0,0.0,3,5,0
b1,2,c3formal_c3v81formal_0807_b1_open_plan_office_uav3_run_002,audit-complete,0,3,85.3191442489624,5,5,5,2,0,0,0,0,0,0.0,5,10,0
c3,2,c3formal_c3v81formal_0807_c3_open_plan_office_uav3_run_002,audit-complete,0,3,77.7615098953247,1,1,1,0,0,0,0,0,0,0.0,1,4,0
b0,3,c3formal_c3v81formal_0807_b0_open_plan_office_uav3_run_003,audit-complete,0,3,76.76953268051147,9,9,0,0,0,0,0,0,0,0.0,9,11,0
b1,3,c3formal_c3v81formal_0807_b1_open_plan_office_uav3_run_003,audit-complete,0,3,86.64879727363586,3,3,3,1,0,0,0,0,0,0.0,3,6,0
c3,3,c3formal_c3v81formal_0807_c3_open_plan_office_uav3_run_003,audit-complete,0,3,73.95311951637268,0,0,0,0,0,0,0,0,0,0.0,0,3,0
b0,4,c3formal_c3v81formal_0807_b0_open_plan_office_uav3_run_004,audit-complete,0,3,81.0841977596283,0,0,0,0,0,0,0,0,0,0.0,0,3,0
b1,4,c3formal_c3v81formal_0807_b1_open_plan_office_uav3_run_004,audit-complete,0,3,64.69774174690247,0,0,0,0,0,0,0,0,0,0.0,0,3,0
c3,4,c3formal_c3v81formal_0807_c3_open_plan_office_uav3_run_004,audit-complete,0,3,69.2744996547699,1,1,1,0,0,0,0,0,0,0.0,1,4,0
b0,5,c3formal_c3v81formal_0807_b0_open_plan_office_uav3_run_005,audit-complete,0,3,61.682018995285034,0,0,0,0,0,0,0,0,0,0.0,0,3,0
b1,5,c3formal_c3v81formal_0807_b1_open_plan_office_uav3_run_005,audit-complete,0,3,74.0915904045105,0,0,0,0,0,0,0,0,0,0.0,0,3,0
c3,5,c3formal_c3v81formal_0807_c3_open_plan_office_uav3_run_005,audit-complete,0,3,81.28752660751343,2,2,2,0,0,0,0,0,0,0.0,2,4,0
