run_dir,method,scene,uav_num,instance,astar_failures,repeat_keys,max_repeat,c3_attempts,skipped_low_repeat,skipped_by_cooldown,no_cert_count,no_benefit_count,c3_trigger_count,synthetic_cert_count,synthetic_no_benefit_count,synthetic_trigger_count,benefit_median_s,benefit_max_s,actual_b3_sent,actual_b3_sent_c3_accept,actual_b3_sent_c3_reject,makespan_s_proxy,finish_count,json_parse_error_count
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_001,b0,cubicle_office,4,001,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,75.2822778224945,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_002,b0,cubicle_office,4,002,24,3,22,1,4,19,0,1,0,1,1,0,-14.311925964916272,-14.311925964916272,0,0,0,,0,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_003,b0,cubicle_office,4,003,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,76.53080773353577,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_004,b0,cubicle_office,4,004,4,2,2,0,4,0,0,0,0,0,0,0,,,0,0,0,59.68209528923035,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_005,b0,cubicle_office,4,005,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,69.50633025169373,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_006,b0,cubicle_office,4,006,7,2,6,1,3,3,0,1,0,1,1,0,-14.311925964916272,-14.311925964916272,0,0,0,73.9170138835907,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_007,b0,cubicle_office,4,007,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,80.94168496131897,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_008,b0,cubicle_office,4,008,21,2,20,1,3,17,0,1,0,1,1,0,-14.311925964916272,-14.311925964916272,0,0,0,72.30987501144409,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_009,b0,cubicle_office,4,009,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,63.57752561569214,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_010,b0,cubicle_office,4,010,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,74.17046809196472,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_011,b0,cubicle_office,4,011,13,2,12,1,3,9,0,1,0,1,1,0,-14.311925964916272,-14.311925964916272,0,0,0,79.53305196762085,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_012,b0,cubicle_office,4,012,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,65.73118090629578,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_013,b0,cubicle_office,4,013,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,59.33611750602722,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_001,b1,cubicle_office,4,001,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,125.91635966300964,3,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_002,b1,cubicle_office,4,002,22,11,3,0,0,0,0,0,0,0,0,0,,,0,0,0,68.18491649627686,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_003,b1,cubicle_office,4,003,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,69.99606275558472,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_004,b1,cubicle_office,4,004,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,79.06148934364319,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_005,b1,cubicle_office,4,005,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,63.194267988204956,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_006,b1,cubicle_office,4,006,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,79.08241391181946,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_007,b1,cubicle_office,4,007,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,80.23044443130493,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_008,b1,cubicle_office,4,008,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,60.43431091308594,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_009,b1,cubicle_office,4,009,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,70.4246563911438,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_010,b1,cubicle_office,4,010,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,70.2483561038971,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_011,b1,cubicle_office,4,011,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,66.53249835968018,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_012,b1,cubicle_office,4,012,15,6,3,0,0,0,0,0,0,0,0,0,,,0,0,0,65.17104244232178,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b1_cubicle_office_uav4_run_013,b1,cubicle_office,4,013,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,64.04624128341675,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_001,b2,cubicle_office,4,001,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,70.85647368431091,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_002,b2,cubicle_office,4,002,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,86.52296566963196,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_003,b2,cubicle_office,4,003,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,74.46300625801086,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_004,b2,cubicle_office,4,004,3,2,2,0,3,0,0,0,0,0,0,0,,,0,0,0,78.63119316101074,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_005,b2,cubicle_office,4,005,9,4,3,2,7,0,0,2,0,0,0,0,-6.986424211455138,-4.74330884180039,0,0,0,78.1630539894104,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_006,b2,cubicle_office,4,006,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,74.72872400283813,4,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b2_cubicle_office_uav4_run_007,b2,cubicle_office,4,007,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,85.82926344871521,4,0
